Brand,Weight_g,Bear_Count,Average_Price_USD
SmartSweets,200,60,3.16
Albanese,500,60,4.96
Surf Sweets,300,30,4.27
SmartSweets,500,50,5.74
Albanese,500,10,4.54
Trolli,300,10,4.34
SmartSweets,200,30,2.55
Surf Sweets,250,20,3.39
Jelly Belly,500,30,5.37
Albanese,150,60,2.36
Surf Sweets,50,100,1.02
Surf Sweets,150,40,2.67
Albanese,50,60,1.04
Haribo,100,60,1.97
Trolli,150,40,2.17
Surf Sweets,500,10,5.14
Surf Sweets,150,10,2.33
Trolli,300,80,4.07
Albanese,150,20,2.1
Albanese,500,50,5.58
Black Forest,200,10,3.25
Haribo,250,100,3.48
SmartSweets,150,80,2.83
Jelly Belly,100,10,2.05
Black Forest,300,100,3.59
Albanese,150,30,2.43
Albanese,150,100,2.64
SmartSweets,50,50,1.03
Trolli,500,60,5.25
Haribo,250,50,3.46
Trolli,200,20,2.64
Haribo,300,60,3.81
Surf Sweets,150,20,2.39
Haribo,250,10,3.94
Black Forest,200,20,3.23
Haribo,200,30,3.25
Jelly Belly,200,50,3.28
Albanese,50,80,1.2
Surf Sweets,100,50,2.07
Trolli,300,60,4.22
Jelly Belly,250,30,3.1
SmartSweets,100,10,2.26
Trolli,300,60,4.16
Albanese,150,80,2.64
Trolli,150,40,2.82
Surf Sweets,100,100,1.5
Surf Sweets,100,10,1.93
Jelly Belly,200,50,3.15
Trolli,500,40,5.85
Haribo,250,10,3.4
Albanese,100,10,2.46
SmartSweets,100,100,2.24
Trolli,200,80,3.24
Surf Sweets,50,50,1.33
SmartSweets,100,100,2.47
Haribo,100,50,2.17
Surf Sweets,250,30,3.47
Surf Sweets,300,80,4.37
Surf Sweets,100,100,2.41
Jelly Belly,300,20,3.59
SmartSweets,200,20,3.46
Black Forest,50,100,1.06
Jelly Belly,50,60,1.4
Surf Sweets,500,60,4.61
Jelly Belly,200,30,3.04
Haribo,300,50,3.95
Surf Sweets,300,20,4.49
Trolli,150,40,2.16
SmartSweets,200,10,2.57
Surf Sweets,200,50,3.38
SmartSweets,500,40,4.56
Trolli,300,30,4.33
Jelly Belly,50,30,1.09
Surf Sweets,150,20,2.1
Surf Sweets,200,10,2.85
Jelly Belly,250,30,3.23
Black Forest,500,20,4.77
Haribo,200,20,3.04
SmartSweets,500,100,5.4
Haribo,50,10,1.1
SmartSweets,500,40,5.64
Jelly Belly,250,30,3.81
Albanese,250,60,3.62
Trolli,150,80,2.58
SmartSweets,150,80,2.66
Trolli,150,80,2.79
Trolli,100,30,1.69
Trolli,200,30,2.51
Haribo,150,40,2.25
Surf Sweets,500,50,5.8
Jelly Belly,300,100,4.26
Jelly Belly,200,50,3.17
Trolli,200,80,3.27
Jelly Belly,500,50,5.07
SmartSweets,500,80,5.74
Trolli,500,10,4.59
Trolli,500,60,5.16
Jelly Belly,200,60,3.08
Jelly Belly,200,10,3.47
Jelly Belly,250,30,3.35
Black Forest,250,10,3.33
Black Forest,100,10,1.73
Haribo,250,30,3.18
SmartSweets,200,40,3.08
Surf Sweets,50,60,1.13
SmartSweets,200,60,3.37
Black Forest,200,80,2.77
Albanese,200,40,2.93
Jelly Belly,50,60,1.24
Haribo,150,10,2.46
SmartSweets,500,40,4.69
Trolli,50,50,1.43
Trolli,200,20,3.2
Trolli,50,50,1.25
Albanese,300,100,4.28
Albanese,300,100,3.82
Haribo,300,10,4.21
Black Forest,200,60,2.69
Jelly Belly,250,100,3.8
Albanese,250,20,3.58
Haribo,500,60,4.73
Trolli,250,20,3.4
Trolli,50,10,1.33
Surf Sweets,200,80,2.91
Albanese,100,60,2.32
Jelly Belly,300,100,4
Black Forest,100,100,1.73
Albanese,50,60,1.15
Albanese,200,40,2.95
Surf Sweets,300,40,4.44
Albanese,300,30,3.63
Albanese,200,30,2.64
Haribo,200,10,2.81
Surf Sweets,200,80,2.86
Trolli,250,60,3.32
Albanese,250,100,3.02
Haribo,300,80,4.45
SmartSweets,100,40,2.48
Black Forest,100,60,2.39
Haribo,500,10,4.96
Black Forest,100,30,2.03
Albanese,150,20,2.18
Trolli,500,20,4.57
Surf Sweets,200,10,3.25
SmartSweets,500,50,5.35
Haribo,50,60,1.18
SmartSweets,250,80,3.26
Black Forest,200,100,2.74
Albanese,250,10,3.72
Albanese,250,60,3.05
Surf Sweets,300,80,4.26
SmartSweets,500,40,5.49
Surf Sweets,150,40,2.94
Surf Sweets,200,40,3.05
Black Forest,50,40,1.05
SmartSweets,100,50,1.77
Black Forest,300,10,3.63
Haribo,50,40,1.34
SmartSweets,300,30,4.21
Jelly Belly,200,10,2.88
Trolli,200,30,2.62
Trolli,500,40,5.56
Black Forest,500,40,4.98
Black Forest,300,60,3.75
Haribo,50,80,1.43
Haribo,50,60,1.42
Haribo,250,30,3.36
SmartSweets,500,10,5.36
Jelly Belly,250,10,3.47
Haribo,300,50,3.98
Jelly Belly,300,40,4.18
SmartSweets,500,20,5.26
Trolli,500,50,5.16
SmartSweets,250,20,3.32
Albanese,200,30,3.35
Trolli,50,20,1.26
Jelly Belly,250,40,3.76
SmartSweets,300,50,3.51
Haribo,200,60,3.48
Black Forest,100,20,1.51
Jelly Belly,50,30,1.29
SmartSweets,100,60,2.31
Albanese,200,50,3.19
Black Forest,150,80,2.05
Surf Sweets,300,80,3.92
Jelly Belly,300,100,3.66
SmartSweets,200,60,2.63
Albanese,100,10,1.93
Jelly Belly,200,60,3.08
Black Forest,100,10,1.66
Albanese,500,100,5.02
Albanese,300,40,3.78
SmartSweets,100,60,1.85
Surf Sweets,200,20,3.25
Black Forest,50,80,1.03
Albanese,300,30,3.84
Haribo,250,80,3.77
Jelly Belly,50,60,1.2
Trolli,100,20,1.58
SmartSweets,50,30,1.43
Albanese,200,80,3.31
Jelly Belly,300,10,4.35
Haribo,100,60,2.03
SmartSweets,250,40,3.44
Surf Sweets,200,30,2.96
Albanese,50,100,1.28
Albanese,150,80,2.78
Trolli,150,20,2.6
SmartSweets,250,80,3.63
Black Forest,300,40,4.23
Trolli,100,60,1.62
Black Forest,150,30,2.33
Black Forest,250,20,3.05
Surf Sweets,100,100,1.81
Haribo,300,10,4.45
Jelly Belly,150,60,2.07
Albanese,150,50,2.27
Black Forest,100,100,2.13
Surf Sweets,100,60,1.93
Black Forest,150,60,2.11
Jelly Belly,50,50,1.32
Jelly Belly,50,30,1.34
SmartSweets,500,100,4.97
Surf Sweets,50,80,1.27
Albanese,150,60,2.73
Black Forest,50,100,1.22
Black Forest,150,100,2.05
Trolli,150,50,2.16
Surf Sweets,100,80,2.05
Trolli,100,30,1.64
Albanese,250,100,3.6
Trolli,250,10,3.97
Trolli,250,80,3.34
Jelly Belly,150,60,2.32
Jelly Belly,100,80,1.9
Trolli,300,80,4.47
Black Forest,500,40,4.86
Albanese,250,20,3.66
Haribo,200,50,3.14
Jelly Belly,150,30,2.62
Haribo,100,80,2.12
SmartSweets,300,50,4.2
Black Forest,100,80,1.81
Jelly Belly,250,10,3.15
SmartSweets,50,60,1.28
Albanese,150,60,2.79
Jelly Belly,300,10,4.31
Black Forest,200,40,2.95
Albanese,100,10,1.83
Albanese,50,60,1.45
SmartSweets,300,60,4.34
Black Forest,150,80,2.54
Haribo,200,40,2.52
Albanese,250,30,3.29
Trolli,50,20,1.17
Haribo,300,50,3.82
SmartSweets,150,10,2.56
Surf Sweets,200,50,2.66
Jelly Belly,150,60,2.88
Trolli,100,100,2.09
Jelly Belly,50,10,1.38
Haribo,250,30,3.64
Haribo,50,80,1.22
SmartSweets,300,40,4.27
Black Forest,100,20,1.56
Black Forest,300,10,3.62
Haribo,200,10,2.84
Surf Sweets,100,10,1.89
Jelly Belly,100,10,2.17
Jelly Belly,500,50,4.74
SmartSweets,250,50,3.84
Surf Sweets,500,50,5.79
Haribo,50,100,1.24
Haribo,300,100,3.68
Haribo,500,50,5.98
Trolli,200,100,2.98
Surf Sweets,200,100,3.26
Albanese,250,50,3.88
Jelly Belly,50,80,1.03
Haribo,50,60,1.4
Jelly Belly,50,100,1.05
Trolli,250,10,3.93
SmartSweets,100,30,1.7
SmartSweets,300,40,4.17
